sheet_row,inferred_provider,MISSING_FIELDS,perk_id,provider,membership,tier,feature,titlegroup,title,description,category,reset_period,next_reset_date,usage_limit,usage_notes,source_url,last_verified,popularity,icon_provider_url,icon_membership_url,created_at,emoji,price
180,Sky,source_url,sky-silver-sky-ultimate-tv,Sky,Sky,Silver,feature,Sky Ultimate TV,Sky Ultimate TV,"Sky Ultimate TV package with 130+ live and on-demand channels including Sky Atlantic, Sky One, Sky Witness, Sky Documentaries, and more, plus built-in streaming apps",Entertainment,NONE,,Ongoing,Usage: Ongoing.,,2026-04-28 00:00:00,Unknown,https://logo.clearbit.com/sky.com,https://logo.clearbit.com/sky.com,2026-04-28 00:00:00,📺,140
181,Sky,source_url,sky-silver-sky-sports,Sky,Sky,Silver,feature,Sky Sports,Sky Sports,"All 9 Sky Sports channels including Premier League, F1, Golf, Cricket, Tennis, and Sky Sports+ with dedicated coverage of EFL and more live sporting action",Sports,NONE,,Ongoing,Usage: Ongoing.,,2026-04-28 00:00:00,Unknown,https://logo.clearbit.com/sky.com,https://logo.clearbit.com/sky.com,2026-04-28 00:00:00,⚽,140
182,Sky,source_url,sky-silver-sky-cinema,Sky,Sky,Silver,feature,Sky Cinema,Sky Cinema,"Access to Sky Cinema channels with the latest blockbuster movies, exclusive premieres, and a library of classic films, plus 2 Vue cinema tickets per month and Paramount+ Basic included",Entertainment,NONE,,Ongoing,Usage: Ongoing.,,2026-04-28 00:00:00,Unknown,https://logo.clearbit.com/sky.com,https://logo.clearbit.com/sky.com,2026-04-28 00:00:00,🎬,140
183,Sky,source_url,sky-silver-tnt-sports,Sky,Sky,Silver,feature,Tnt Sports,TNT Sports,"All 4 TNT Sports channels featuring UEFA Champions League, Europa League, exclusive Premier League matches, FA Cup, Rugby, UFC, MotoGP, and more live sports via HBO Max app",Sports,NONE,,Ongoing,Usage: Ongoing.,,2026-04-28 00:00:00,Unknown,https://logo.clearbit.com/sky.com,https://logo.clearbit.com/sky.com,2026-04-28 00:00:00,🏆,140
184,Sky,source_url,sky-silver-netflix-standard-ads,Sky,Sky,Silver,feature,Netflix Standard With Ads,Netflix Standard with Ads,"Netflix Standard with Ads subscription included, allowing streaming on 2 devices simultaneously in Full HD with award-winning films, series, and documentaries",Streaming,NONE,,Ongoing,Usage: Ongoing.,,2026-04-28 00:00:00,Unknown,https://logo.clearbit.com/sky.com,https://logo.clearbit.com/sky.com,2026-04-28 00:00:00,🎥,140
185,Sky,source_url,sky-silver-sky-glass-55-gen1,Sky,Sky,Silver,feature,"Sky Glass 55"" - Gen 1","Sky Glass 55"" - Gen 1","Sky Glass 55-inch Gen 1 4K Ultra HD Smart TV with built-in Dolby Atmos soundbar, integrated Sky streaming, voice control, and no satellite dish required",Hardware,NONE,,Ongoing,Usage: Ongoing.,,2026-04-28 00:00:00,Unknown,https://logo.clearbit.com/sky.com,https://logo.clearbit.com/sky.com,2026-04-28 00:00:00,📺,140
186,Sky,source_url,sky-silver-hbo-max-basic-ads,Sky,Sky,Silver,feature,Hbo Ma Basic With Ads,HBO Max Basic with Ads,"HBO Max Basic with Ads subscription with access to HBO's acclaimed series catalogue including Succession, Game of Thrones, The Last of Us, Euphoria, and Warner Bros. films",Streaming,NONE,,Ongoing,Usage: Ongoing.,,2026-04-28 00:00:00,Unknown,https://logo.clearbit.com/sky.com,https://logo.clearbit.com/sky.com,2026-04-28 00:00:00,🎭,140
187,Sky,source_url,sky-silver-discovery-plus-entertainment,Sky,Sky,Silver,feature,Discovery+ Entertainment,Discovery+ Entertainment,"Discovery+ Entertainment subscription with access to real-life entertainment, documentaries, reality shows, true crime, and original content from Discovery, TLC, and more channels",Streaming,NONE,,Ongoing,Usage: Ongoing.,,2026-04-28 00:00:00,Unknown,https://logo.clearbit.com/sky.com,https://logo.clearbit.com/sky.com,2026-04-28 00:00:00,🔍,140
188,Sky,source_url,sky-silver-paramount-plus-basic-ads,Sky,Sky,Silver,feature,Paramount+ Basic (With Ads),Paramount+ Basic (with Ads),"Paramount+ Basic subscription with ads, featuring exclusive Paramount films, original series, reality shows, and classic content from CBS, Showtime, and Nickelodeon",Streaming,NONE,,Ongoing,Usage: Ongoing.,,2026-04-28 00:00:00,Unknown,https://logo.clearbit.com/sky.com,https://logo.clearbit.com/sky.com,2026-04-28 00:00:00,⭐,140
189,Sky,source_url,sky-silver-disney-plus-standard-ads,Sky,Sky,Silver,feature,Disney+ Standard With Ads,Disney+ Standard with Ads,"Disney+ Standard with Ads subscription providing access to Disney, Pixar, Marvel, Star Wars, and National Geographic content on 2 devices in Full HD",Streaming,NONE,,Ongoing,Usage: Ongoing.,,2026-04-28 00:00:00,Unknown,https://logo.clearbit.com/sky.com,https://logo.clearbit.com/sky.com,2026-04-28 00:00:00,🏰,140
190,Sky,source_url,sky-silver-sky-full-fibre-150,Sky,Sky,Silver,feature,Sky Full Fibre 150,Sky Full Fibre 150,"Sky Full Fibre 150 broadband with average download speeds of 150Mbps and 27Mbps upload over FTTP connection, including Sky Max Hub WiFi 6 router and digital phone line",Broadband,NONE,,Ongoing,Usage: Ongoing.,,2026-04-28 00:00:00,Unknown,https://logo.clearbit.com/sky.com,https://logo.clearbit.com/sky.com,2026-04-28 00:00:00,🌐,140
